name,url_pc
Apple MacBook Air M4 15 pouces (2025) Lumière stellaire 16Go/256 Go (MW1J3FN/A),"https://www.ldlc.com/fiche/PB00671602.html"">"
Apple MacBook Air M4 15 pouces (2025) Lumière stellaire 16Go/512 Go (MW1K3FN/A),"https://www.ldlc.com/fiche/PB00671608.html"">"
Apple MacBook Air M4 15 pouces (2025) Lumière stellaire 16Go/512 Go (MW1K3FN/A-70W),"https://www.ldlc.com/fiche/PB00672832.html"">"
Apple MacBook Air M4 15 pouces (2025) Lumière stellaire 24Go/512 Go (MC6K4FN/A),"https://www.ldlc.com/fiche/PB00671612.html"">"
Apple MacBook Air M4 15 pouces (2025) Minuit 16Go/256 Go (MW1L3FN/A),"https://www.ldlc.com/fiche/PB00671605.html"">"
Apple MacBook Air M4 15 pouces (2025) Minuit 16Go/512 Go (MW1M3FN/A),"https://www.ldlc.com/fiche/PB00671609.html"">"
Apple MacBook Air M4 15 pouces (2025) Minuit 24 Go/2 To (MC6L4FN/A-2TB-70W),"https://www.ldlc.com/fiche/PB00674308.html"">"
Apple MacBook Air M4 15 pouces (2025) Minuit 24Go/512 Go (MC6L4FN/A),"https://www.ldlc.com/fiche/PB00671613.html"">"
Apple MacBook Air M4 15 pouces (2025) Minuit 32 Go/2 To (MC6L4FN/A-32GB-2TB-70W),"https://www.ldlc.com/fiche/PB00671877.html"">"
"Apple MacBook Pro M3 Pro 14"" Noir sidéral 18Go/1 To (MRX43FN/A)","https://www.ldlc.com/fiche/PB00579951.html"">"
"Apple MacBook Pro M4 14"" Argent 16 Go/1 To (MW2X3FN/A)","https://www.ldlc.com/fiche/PB00651927.html"">"
"Apple MacBook Pro M4 14"" Argent 16 Go/512 Go (MW2W3FN/A)","https://www.ldlc.com/fiche/PB00651923.html"">"
"Apple MacBook Pro M4 14"" Noir sidéral 16 Go/1 To (MW2V3FN/A)","https://www.ldlc.com/fiche/PB00651925.html"">"
"Apple MacBook Pro M4 14"" Noir sidéral 16 Go/512 Go (MW2U3FN/A)","https://www.ldlc.com/fiche/PB00651921.html"">"
"Apple MacBook Pro M4 14"" Noir sidéral 16 Go/512 Go (MW2U3FN/A-QWERTY-INT)","https://www.ldlc.com/fiche/PB00665143.html"">"
"Apple MacBook Pro M4 14"" Noir sidéral 24 Go/1 To (MCX04FN/A)","https://www.ldlc.com/fiche/PB00651912.html"">"
"Apple MacBook Pro M4 14"" Noir sidéral 32 Go/1 To (MW2V3FN/A-32GB)","https://www.ldlc.com/fiche/PB00672510.html"">"
"Apple MacBook Pro M4 Max 14"" Argent 36 Go/1 To (MX2G3FN/A)","https://www.ldlc.com/fiche/PB00651934.html"">"
"Apple MacBook Pro M4 Max 14"" Noir sidéral 36 Go/1 To (MX2K3FN/A)","https://www.ldlc.com/fiche/PB00651935.html"">"
"Apple MacBook Pro M4 Max 16"" Argent 48 Go/1 To (MX2W3FN/A)","https://www.ldlc.com/fiche/PB00651945.html"">"
"Apple MacBook Pro M4 Max 16"" Noir sidéral 36 Go/1 To (MX303FN/A)","https://www.ldlc.com/fiche/PB00651943.html"">"
"Apple MacBook Pro M4 Pro 14"" Argent 24 Go/1 To (MX2F3FN/A)","https://www.ldlc.com/fiche/PB00651932.html"">"
"Apple MacBook Pro M4 Pro 14"" Argent 24 Go/512 Go (MX2E3FN/A)","https://www.ldlc.com/fiche/PB00651930.html"">"
"Apple MacBook Pro M4 Pro 14"" Noir sidéral 24 Go/1 To (MX2J3FN/A)","https://www.ldlc.com/fiche/PB00651933.html"">"
"Apple MacBook Pro M4 Pro 14"" Noir sidéral 24 Go/512 Go (MX2H3FN/A)","https://www.ldlc.com/fiche/PB00651931.html"">"
"Apple MacBook Pro M4 Pro 14"" Noir sidéral 48 Go/1 To (MX2J3FN/A-48GB-QWERTY-ES)","https://www.ldlc.com/fiche/PB00677446.html"">"
"Apple MacBook Pro M4 Pro 16"" Argent 24 Go/512 Go (MX2T3FN/A)","https://www.ldlc.com/fiche/PB00651936.html"">"
"Apple MacBook Pro M4 Pro 16"" Argent 48 Go/512 Go (MX2U3FN/A)","https://www.ldlc.com/fiche/PB00651937.html"">"
"Apple MacBook Pro M4 Pro 16"" Noir sidéral 24 Go/1 To (MX2X3FN/A-1TB-NANO)","https://www.ldlc.com/fiche/PB00655358.html"">"
"Apple MacBook Pro M4 Pro 16"" Noir sidéral 24 Go/512 Go (MX2X3FN/A)","https://www.ldlc.com/fiche/PB00651938.html"">"
"Apple MacBook Pro M4 Pro 16"" Noir sidéral 48 Go/512 Go (MX2Y3FN/A)","https://www.ldlc.com/fiche/PB00651939.html"">"
